job,job_category,job_description,median_salary,growth_in_ten,overall_score,salary_score,job_market_score,future_growth_score,stress_score,work_life_balance_score,upward_mobility,stress_level,flexibility,how_to_become,url,work_life_balance,promising_job,popular_word,times_pop,paid_count
Nurse Practitioner,Health Care,"Nurse practitioners perform a lot of the same duties as physicians; they perform physical exams, order lab tests and analyze results, prescribe medicines and authorize treatments. These professionals usually have a specialty, such as adult and geriatric health, pediatric health or mental health.",120680.0,112700.0,8.8,8.7,10.0,8.0,4.0,4.0,Above Average,Above Average,Below Average,"Nurse Practitioners made a median salary of $120,680 in 2021. The best-paid 25% made $129,680 that year, while the lowest-paid 25% made $99,540. You'll spend a considerable amount of time in school. All nurse practitioners must first be registered nurses, so a bachelor's degree, associate degree or other approved diploma is a requirement. Passing the National Council Licensure Examination is also required.Then, you'll have to get a master's or doctorate degree, which can take anywhere from two to four years. Then there's additional certification to use the APRN title and board certification for your specialty, like women's health, pediatrics or neonatal, to name a few. And you'll also have to obtain a state-specific license. ",https://money.usnews.com/careers/best-jobs/nurse-practitioner,0,1,degree,3,2
Physician Assistant,Health Care,"Physician assistants diagnose illnesses, develop and carry out treatment plans, assist in surgeries, perform procedures and guide patients.",121530.0,38400.0,8.3,8.7,8.0,8.0,4.0,8.0,Average,Above Average,Above Average,"Physician Assistants made a median salary of $121,530 in 2021. The best-paid 25% made $131,740 that year, while the lowest-paid 25% made $99,880. While some physician assistants pursue a doctoral degree, the terminal degree to become a PA is a master’s. To gain admission into a physician assistant program in the U.S., students should have a bachelor’s degree with a strong background in science and medical courses, as well as hands-on experience caring for patients.“PA students, on average, have about 3,000 hours of direct patient care prior to coming to PA school,” Orozco says. “So they’re paramedics, they’re nurses, (or) they could be athletic trainers.”The amount of hours of clinical experience required for acceptance varies by program and school.Physician assistant programs typically take about three academic years (roughly 27 months) and include a blend of classroom instruction and more than 2,000 hours of clinical rotations, according to the AAPA. After graduation, PA hopefuls must take the Physician Assistant National Certifying Exam, administered by the National Commission on Certification of Physician Assistants.Physician assistants need 100 credit hours of continuing education every two years and must take the Physician Assistant National Recertifying Exam every 10 years to maintain their certification. They must be licensed in the state or territory in which they want to practice and see patients. ",https://money.usnews.com/careers/best-jobs/physician-assistant,1,1,physician,8,4
Physical Therapist,Health Care,The role of a physical therapist is to help patients manage and treat injuries or long-term illnesses by examining them and developing a plan that helps them increase mobility and lessen pain.,95620.0,40400.0,8.0,7.7,10.0,8.0,4.0,6.0,Average,Above Average,Average,"Physical Therapists made a median salary of $95,620 in 2021. The best-paid 25% made $101,920 that year, while the lowest-paid 25% made $77,750. Physical therapists must earn a doctor of physical therapy degree. There are more than 200 accredited physical therapy programs, according to the Commission on Accreditation in Physical Therapy Education.Here's how to start your career as a physical therapist:1. Earn a bachelor's degree. Prerequisites are needed for entrance to a physical therapy program. Courses required may include anatomy, biology and chemistry.2. Enroll in a doctor of physical therapy program. Programs are typically three years, and usually require proof of a bachelor's degree before admittance. These programs typically include courses in pharmacology, biomechanics and neuroscience, according to the BLS. 3. Complete a clinical residency. There is also a clinical component to these degrees. After graduating, physical therapists might choose to complete a clinical residency or fellowship to gain more practical experience.4. Obtain your license. Physical therapists need to pass the National Physical Therapy Examination, and may need to meet state-specific requirements. 5. Become board-certified. Therapists looking to specialize can obtain additional certifications. You're required to pass an exam and complete several hours of clinical work before receiving your certification.Physical therapists are also expected to complete continuing education throughout their career to stay on top of the latest techniques and maintain their licensure. ",https://money.usnews.com/careers/best-jobs/physical-therapist,1,1,physical,12,6
Dentist,Health Care,"From filling cavities to whitening teeth, dentists primarily examine and treat issues involving the mouth, gums and teeth.",160370.0,7700.0,7.5,10.0,10.0,6.0,6.0,8.0,Average,Average,Above Average,"Dentists made a median salary of $160,370 in 2021. The best-paid 25% made $208,000 that year, while the lowest-paid 25% made $101,570. Becoming a dentist involves a marathon of training and testing. Ideally, the pathway starts as early as high school, when you focus on Advanced Placement courses in chemistry, physics, biology and mathematics. Here are the next steps to take:1. Get an undergraduate degree. As undergrads, aspiring dentists will need to take a host of premedical courses in mathematics, chemistry and biology. Aspiring dentists will also need to acquire top marks in undergrad and glowing letters of recommendation to get into dental school.2. Take the Dental Admission Test. Most dentists take the DAT by their junior year. Getting into dental school is competitive, and scoring well on the acceptance test is only one of the hurdles.3. Attend dental school. Dental school itself is a rigorous mix of practical and technical training, and the time spent in a program is determined by specialty. 4. Pass the Integrated National Board Dental Examination. To practice, dentists are required to pass the exam and obtain state-specific licensure.While practicing, each state may require dentists to keep up with changes in ethics, technology and more by taking continuing dental education courses.Some dentists also specialize, which entails additional training. After completing dental school, these dentists enter residency programs related to a specialty, such as oral or maxillofacial surgery. Programs are often one to two years, but training varies by specialty. Some programs can take up to six years. ",https://money.usnews.com/careers/best-jobs/dentist,1,1,dentists,8,8
Veterinarian,Health Care,An average day as a veterinarian might include performing surgeries or setting broken bones for animals. One must-have skill is communication. Vets routinely interact with animal owners and support staff.,100370.0,16800.0,7.5,7.9,10.0,6.0,4.0,4.0,Average,Above Average,Below Average,"Veterinarians made a median salary of $100,370 in 2021. The best-paid 25% made $128,410 that year, while the lowest-paid 25% made $78,920. Those with a background in the sciences and experience working with animals will have a strong foundation. Here's how to launch a career in veterinary medicine:1. Earn a bachelor’s degree. Although a bachelor's degree isn't a requirement for getting into a doctor of veterinary medicine program, most candidates have one. And because veterinary medicine is very competitive, it's important to have a solid science background, excellent undergraduate grades and good study habits. 2. Work with animals. Applicants with experience will stand out to veterinary programs. This could include working with animals in an animal shelter or in a veterinarian's office.3. Attend a veterinary program. Accredited doctor of veterinary medicine programs usually take about four years to complete, with the final year reserved for clinical rotations. 4. Get licensed. All states and the District of Columbia require that vets be licensed. They can get their license by graduating from an accredited program and passing the North American Veterinary Licensing Examination. States might also require vets to sit for an additional state exam.""The financial return is relatively low when compared to the time and cost of education,"" Warnick says. He recommends taking a close look at one's finances and minimizing student debt as much as possible. ",https://money.usnews.com/careers/best-jobs/veterinarian,0,1,veterinary,7,10
Physician,Health Care,Physicians provide preventative care but also treat and diagnose a range of illnesses in their patients. Schooling and competition is intense for all types of doctors but the payoff is high.,208000.0,19400.0,7.4,10.0,10.0,8.0,2.0,6.0,Above Average,High,Average,"Physicians made a median salary of $208,000 in 2021. The best-paid 25% made $208,000 that year, while the lowest-paid 25% made $132,060. The path to becoming a physician is a long one. Most future physicians start their journeys by majoring in a subject like biology or pre-med during their undergraduate years. Majoring in one of the sciences helps prepare students for the Medical College Admission Test, or MCAT, which is the entrance exam for medical school. Most medical schools take four years to complete, and that includes a series of rotations through different branches of medicine. Prospective physicians can get either a Doctor of Medicine (M.D.) degree or Doctor of Osteopathic Medicine (D.O.) degree, both of which allow them to practice medicine. The main difference between the degrees is area of emphasis: D.O.s tend to emphasize holistic health, while M.D.s typically take a more targeted approach to diagnosing and treating issues. For McLean, the rotations helped him decide which area of medicine to work in. “It was probably the first day of my internal medicine rotation, and I said, ‘This is it,’” he says. “I really liked taking the patient history, the aspects of preventive care, and the cognitive thinking, the curiosity needed, and the detective work involved with solving the mysteries of illness.”At the end of medical school, students have to take and pass board exams to be matched with a residency program. During these residency programs, physicians complete supervised work for several years before becoming full-fledged physicians. Some might also subspecialize with a fellowship.But they’re not done yet. Physicians also have to be licensed in the states where they will practice. Because each state administers licensure a little bit differently, the American Medical Association recommends contacting the state licensing board directly and inquiring about the requirements. The AMA also advises building in time for obtaining a license, since it can take longer than expected. Physicians must also get credentialed with insurance companies so they can get paid. ",https://money.usnews.com/careers/best-jobs/physician,1,1,physicians,7,13
Orthodontist,Health Care,"Picture-perfect teeth often start with an orthodontist. Orthodontists focus primarily on the teeth and jaw, including realignment and preserving normal function and appearance.",208000.0,300.0,7.3,10.0,10.0,6.0,8.0,8.0,Average,Below Average,Above Average,"Orthodontists made a median salary of $208,000 in 2021. The best-paid 25% made $208,000 that year, while the lowest-paid 25% made $150,690. Aspiring orthodontists commit to roughly a decade of schooling and training before they can become licensed and certified to practice. “Typically, an orthodontist has finished four years of undergraduate college, four years of dental school and an additional two to three years of full-time residency to become an orthodontic specialist,” Roberts says. Candidates must take the four-hour-long Dental Admission Test to apply to dental school in the U.S. The American Dental Education Association recommends students take the test at least one year before they intend to start dental school and after completing their biology and chemistry prerequisites. Many students take the admissions test after their third year of college, according to the ADEA. Dental school students also must pass a national board exam. Traditionally, this has been the two-part National Board Dental Examination, but that is being phased out and replaced by the Integrated National Board Dental Examination, which launched in 2020. Landing a residency is extremely competitive. There are 67 residency programs in the U.S., and only 4% of applicants are admitted to a program, Roberts says. During their residency, prospective orthodontists hone their skills by learning and practicing under professionals.  ",https://money.usnews.com/careers/best-jobs/orthodontist,1,1,dental,8,15
Registered Nurse,Health Care,"A registered nurse has a wide range of responsibilities, from giving medicine to performing medical procedures.",77600.0,195400.0,7.1,7.0,8.0,9.0,4.0,4.0,Average,Above Average,Below Average,"Registered Nurses made a median salary of $77,600 in 2021. The best-paid 25% made $97,580 that year, while the lowest-paid 25% made $61,790. There are multiple paths to becoming an RN, and which one is the right fit for you may depend on your long-term goals. Each requires a mix of classwork and supervised clinical experience, but they differ in scope. Prospective nurses can enter the field after attaining a diploma from an approved program or completing an associate or bachelor’s degree program in nursing.An associate degree in nursing generally takes less time to earn than a bachelor’s degree, allowing you to enter the field sooner. But those who hope to pursue a management role or an advanced position that requires a master’s degree, such as a nurse practitioner, may find choosing the bachelor’s degree route more advantageous. In addition, some hospitals, particularly those aiming to receive magnet hospital designation, prefer to hire nurses with bachelor’s degrees, Wells says.Some people enter the field after earning a master’s degree in nursing. Those with a bachelor’s degree in something other than nursing can still find suitable master’s programs in the field. There are also accelerated and other online learning paths toward earning a nursing degree.“A lot of programs, especially now, are offering distance programs where you can do the didactic courses online and then find a local community site where you can do the clinical hours,” Wells says.Registered nurses must obtain a license in the state they wish to practice, which includes passing a national exam and meeting state-specific requirements. ",https://money.usnews.com/careers/best-jobs/registered-nurse,0,1,degree,8,17
Oral and Maxillofacial Surgeon,Health Care,"From repairing cleft lips and palates to taking care of impacted teeth, oral and maxillofacial surgeons operate specifically on the mouth, jaws, teeth, gums, neck and head.",208000.0,300.0,6.9,10.0,10.0,6.0,4.0,4.0,Average,Above Average,Below Average,"Oral and Maxillofacial Surgeons made a median salary of $208,000 in 2021. The best-paid 25% made $208,000 that year, while the lowest-paid 25% made $198,490. Most oral and maxillofacial surgeons start their education process with a bachelor's degree, taking courses in subjects such as general chemistry, organic chemistry, biology, physics and English. A prospective oral and maxillofacial surgeon will also have to earn a good score on the Dental Admission Test. Dental school typically takes about four years, but specialists such as oral and maxillofacial surgeons need additional training, usually in the form of a multi-year residency. These surgeons should also plan on obtaining certification through the American Board of Oral and Maxillofacial Surgery, which is the standard in this field. In order to maintain board certification, there are ongoing recertification and continuing education requirements. The continuing education is crucial because the purview of the profession is evolving. For instance, in years past, treating sleep apnea wasn't really in the scope of an oral and maxillofacial surgeon; now, Rafetto says it is. ",https://money.usnews.com/careers/best-jobs/oral-and-maxillofacial-surgeon,0,1,oral,6,19
Nurse Anesthetist,Health Care,"As a type of advanced practice registered nurse, nurse anesthetists work with patients regarding anesthetic treatment before, during and after surgery, as well as with therapy or other medical procedures that use anesthesia.",195610.0,5300.0,6.9,10.0,,6.0,4.0,4.0,Above Average,Above Average,Below Average,"Nurse Anesthetists made a median salary of $195,610 in 2021. The best-paid 25% made $208,000 that year, while the lowest-paid 25% made $164,860. To become a certified registered nurse anesthetist, professionals must have a bachelor's degree and their registered nurse licensure, which involves taking and passing the National Council Licensure Examination. Additionally, these professionals must have a minimum of one year of experience in a critical care setting. They will then have to complete an accredited graduate-level nurse anesthesia program and the national certification exam.  ",https://money.usnews.com/careers/best-jobs/nurse-anesthetist,0,1,nurse,4,21
