abstract,url,lead_paragragh,key_words,pub_data,section_name,type_of_material,word_count
Mainstream companies have concerns about the lineage of the data that powers A.I. applications. An industry group is addressing that challenge.,https://www.nytimes.com/2023/11/30/business/ai-data-standards.html,"Data is the fuel of artificial intelligence. It is also a bottleneck for big businesses, because they are reluctant to fully embrace the technology without knowing more about the data used to build A.I. programs.","['Corporations', 'Artificial Intelligence', 'Computers and the Internet', 'Enterprise Computing', 'OpenAI Labs']",2023-11-30,Business Day,News,879
"Three years ago we were caught flat-footed, and many people died.",https://www.nytimes.com/2023/04/30/opinion/pandemic-virus-response.html,This is part of a series on preparing for future outbreaks. Sign up for The Next Pandemic newsletter.,"['Coronavirus (2019-nCoV)', 'Deaths (Fatalities)', 'Epidemics', 'Coronavirus Risks and Safety Concerns', 'Security and Warning Systems', 'Disease Rates', 'Centers for Disease Control and Prevention', 'Biden, Joseph R Jr', 'United States', 'States (US)']",2023-04-30,Opinion,Op-Ed,1258
"Five A.I. practitioners — an industry godfather, an artist, an ethicist, a writer and a computer scientist — share their experiences working with artificial intelligence.",https://www.nytimes.com/interactive/2023/06/01/opinion/ai-technology-future.html,"Five A.I. practitioners — an industry godfather, an artist, an ethicist, a writer and a computer scientist — share their experiences working with artificial intelligence.","['Artificial Intelligence', 'Computers and the Internet', 'Creativity', 'Doomsday']",2023-06-01,Opinion,Interactive Feature,0
"In eight states, the estimated number of abortions increased by 60 percent or more as patients crossed state lines seeking care.",https://www.nytimes.com/interactive/2023/09/07/us/abortion-data-bans-laws.html,"In eight states, the estimated number of abortions increased by 60 percent or more as patients crossed state lines seeking care.","['Abortion', 'United States', ""Dobbs v Jackson Women's Health Organization (Supreme Court Decision)"", 'Law and Legislation', 'States (US)']",2023-09-07,U.S.,Interactive Feature,0
"For Alexa to speak like a Dubliner, Amazon researchers had to crack a problem that’s vexed data scientists for years: voice disentanglement.",https://www.nytimes.com/2023/07/01/technology/amazon-alexa-irish.html,"Like Henry Higgins, the phonetician from George Bernard Shaw’s play “Pygmalion,” Marius Cotescu and Georgi Tinchev recently demonstrated how their student was trying to overcome pronunciation difficulties.","['Amazon.com Inc', 'Artificial Intelligence', 'Speakers (Audio)', 'Voice and Speech', 'Ireland', 'Dublin (Ireland)', 'English Language', 'Computers and the Internet']",2023-07-01,Technology,News,1178
"With other virus tracking efforts winding down, wastewater data is likely to become increasingly important in the months ahead, scientists say.",https://www.nytimes.com/2023/05/11/health/covid-sewage-wastewater-data.html,"When the Covid-19 public health emergency expires in the United States on Thursday, the coronavirus will not disappear. But many of the data streams that have helped Americans monitor the virus will go dark.","['Coronavirus (2019-nCoV)', 'Sewers and Sewage', 'Disease Rates', 'Urban Areas', 'States (US)', 'Centers for Disease Control and Prevention', 'United States', 'your-feed-health', 'your-feed-science']",2023-05-11,Health,News,1305
"High-altitude regions will get more extreme rain than previously thought, making floods and landslides more likely, a study finds.",https://www.nytimes.com/2023/06/28/climate/mountains-extreme-rain-less-snow.html,"As the climate warms, mountain regions will get more extreme rainfall than previously thought, and more of the dangers that come with it, according to a study published on Wednesday in the journal Nature.","['Global Warming', 'Rain', 'Mountains', 'Floods', 'Landslides and Mudslides', 'Snow and Snowstorms', 'Research', 'Nature (Journal)']",2023-06-28,Climate,News,764
"The social media platform now has a work force of less than 2,000, down from 7,500 when Elon Musk took it over in October.",https://www.nytimes.com/2023/02/26/technology/twitter-layoffs.html,"Twitter laid off at least 200 of its employees on Saturday night, three people familiar with the matter said, or about 10 percent of the roughly 2,000 who were still working for the company. Elon Musk, who acquired the social media platform in October, has steadily pared back its work force from about 7,500 employees as he has sought to reduce costs.","['Social Media', 'Layoffs and Job Reductions', 'Twitter', 'Musk, Elon', 'Labor and Jobs']",2023-02-27,Technology,News,430
"Scientists and spy agencies have tried for years to determine where the coronavirus originated. Conclusive evidence is hard to come by, and the nation’s intelligence officials are split.",https://www.nytimes.com/article/covid-origin-lab-leak-china.html,"WASHINGTON — Long after the Covid pandemic emerged from Wuhan, the origin of the coronavirus remains a subject of intense scientific scrutiny, and even more intense political debate.","['Coronavirus (2019-nCoV)', 'Coronavirus Origins Investigation', 'China', 'Wuhan (China)', 'Wuhan Institute of Virology (China)', 'Espionage and Intelligence Services', 'Laboratories and Scientific Equipment', 'Research', 'Wildlife Trade and Poaching', 'Energy Department', 'Biden, Joseph R Jr', 'Trump, Donald J', 'United States Politics and Government']",2023-02-28,U.S.,News,1592
Reinfections are becoming more common. Experts are still unsure about how damaging they can be.,https://www.nytimes.com/2023/08/17/well/live/covid-reinfection.html,"Doctors and scientists who study Covid-19 agree that for most people, getting infected for a second — or third or fourth — time is basically inevitable. The longer the virus sticks around, the more common repeat infections have and will become, especially in light of the summer uptick and a new dominant variant.","['Coronavirus (2019-nCoV)', 'Long Covid', 'Coronavirus Risks and Safety Concerns', 'Chronic Condition (Health)', 'Content Type: Service', 'Research']",2023-08-17,Well,News,801
